Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,75018.66666666667,66668.66666666667,101141.88888888888,104576.66666666669,92846.77777777778,100065.0,108181.66666666669,56771.444444444445,57837.66666666666,70890.44444444444,103058.88888888888,86718.55555555556,75092.33333333333,70777.88888888889,81438.77777777778,85358.55555555556,103645.22222222222,79581.0,99560.11111111112,124036.44444444444,85444.66666666667,87151.77777777778,87783.0,99869.77777777778,84772.88888888889,82314.22222222222,83419.22222222222
Benin,39634.42857142857,40663.857142857145,39158.28571428572,40831.71428571428,40353.142857142855,46554.25,47525.375,51285.75,45665.5,45544.0,47724.5,42952.375,47320.375,46990.25,47763.875,50228.42857142857,66055.25,43788.875,52301.142857142855,61857.125,54533.75,67821.375,61535.625,61955.375,68052.875,67268.625,59177.875
Bermuda,146825.5,167271.5,169643.0,187500.0,200673.0,200673.0,174759.5,184821.5,179777.5,177343.5,170775.5,177578.0,168876.0,167741.0,182680.5,174469.0,170044.5,177777.5,178821.5,178802.5,178848.5,178718.0,185555.5,173888.5,177893.0,178024.0,178541.0
Bhutan,32758.8,25252.0,25581.4,26742.2,27752.0,28376.6,29135.6,29888.6,29964.4,28397.6,23903.8,25398.0,25809.2,32094.4,47253.4,39398.8,34824.6,34121.6,36783.2,30101.83333333333,35815.166666666664,33256.833333333336,33367.333333333336,36561.66666666666,34454.0,36303.5,36980.333333333336
Bolivia (Plurinational State of),44297.0,45287.55555555556,41701.11111111111,42291.55555555556,39630.22222222222,41628.0,42025.11111111111,41594.22222222222,40697.77777777778,41332.333333333336,44121.55555555556,44114.333333333336,44665.55555555556,45910.11111111111,44817.11111111111,46004.88888888889,46237.88888888889,44462.444444444445,45778.88888888889,44507.0,44173.22222222222,43052.11111111111,42344.333333333336,39855.0,43158.333333333336,45599.0,44107.0
Botswana,10525.666666666666,10029.666666666666,8820.333333333334,9144.0,7970.666666666667,10765.333333333334,8354.666666666666,7519.0,6980.333333333333,6705.666666666667,6191.333333333333,9748.0,7242.666666666667,10875.666666666666,5926.0,10742.333333333334,5995.666666666667,6732.666666666667,5117.0,3735.5,3659.0,5081.5,4074.5,2008.5,2795.5,8140.5,5124.0
Brazil,60368.11111111111,60554.22222222222,61370.0,63397.22222222222,65049.55555555556,65807.77777777778,61403.333333333336,64859.88888888889,65142.88888888889,68496.55555555556,68918.55555555556,72885.22222222222,73369.0,76755.22222222222,77036.22222222222,76378.22222222222,78671.33333333333,82433.66666666667,85569.55555555556,82920.55555555556,86446.88888888889,89312.66666666667,89646.66666666667,92389.22222222222,93097.33333333331,96895.22222222222,95862.77777777778
Brunei Darussalam,64333.333333333336,66688.66666666667,64578.0,67252.66666666667,64459.0,64395.333333333336,62832.66666666666,61343.333333333336,60699.333333333336,58931.333333333336,59652.333333333336,59380.0,58727.66666666666,60321.333333333336,61732.333333333336,63011.66666666666,67342.66666666667,69161.66666666667,71132.33333333333,72584.33333333333,74794.66666666667,77812.0,80896.33333333333,79775.33333333333,81222.33333333333,82863.0,84991.66666666667
Bulgaria,38277.333333333336,44357.0,39256.333333333336,32799.333333333336,37589.66666666666,40613.5,29007.0,39145.16666666666,34916.333333333336,43216.5,32553.666666666668,42902.333333333336,45303.833333333336,45480.66666666666,61619.333333333336,54756.66666666666,53252.0,46664.5,54689.16666666666,55202.16666666666,62607.833333333336,53234.5,43270.66666666666,58611.0,58262.5,56707.16666666666,57405.0
Burkina Faso,33915.25,31944.375,24979.125,31667.25,30368.0,31904.25,30537.875,26620.375,27527.75,31939.625,39799.75,30547.125,30490.125,43904.625,29203.0,33047.75,40063.5,31029.0,37247.75,39862.5,32637.0,43589.625,33780.0,37716.125,27886.625,34866.875,36402.25
